Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Stockport County U21 x Leeds United U21 / Ambos os times marcam?,Sim,A favor,371764127546,17-dez-24 10:10,,C,1.46,1.00,,1.46,0.46
Futebol / Quick Boys x Fortuna Sittard / Ambos os times marcam?,Sim,A favor,371764800584,17-dez-24 10:18,,C,1.7,1.00,,1.7,0.70
Futebol / Twente (F) x Celtic (F) / Ambos os times marcam?,Sim,A favor,371763817627,17-dez-24 10:05,,C,1.69,1.00,,1.69,(1.00)
Futebol / RKC Waalwijk x Cambuur Leeuwarden / Ambos os times marcam?,Sim,A favor,371764659380,17-dez-24 10:16,,C,1.56,1.00,,1.56,0.56
Futebol / CSM Unirea Alba Iulia x CSM Ramnicu-Valcea / Ambos os times marcam?,Sim,A favor,371764037371,17-dez-24 10:08,,C,1.12,1.00,,1.12,0.12
"Futebol / Alanyaspor x Amed Sportif Faaliyetler / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",Contra,371785265332,17-dez-24 15:38,,C,2.1,4.55,5.00,2.1,4.55
"Futebol / Alanyaspor x Amed Sportif Faaliyetler / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",A favor,371785993988,17-dez-24 15:48,,C,3.95,1.70,,3.95,(1.70)
Futebol / Real Madrid Feminino x Chelsea (F) / Ambos os times marcam?,Sim,A favor,371763870137,17-dez-24 10:06,,C,1.58,1.00,,1.58,0.58
Futebol / Genk Sub19 x Puskas Akademia FC U19 / Ambos os times marcam?,Sim,A favor,371762967924,17-dez-24 09:53,,C,1.96,1.00,,1.96,0.96
Futebol / Alanyaspor x Amed Sportif Faaliyetler / Ambos os times marcam?,Sim,A favor,371763725967,17-dez-24 10:04,,C,1.8,1.00,,1.8,0.80
Futebol / Azam FC x Fountain Gate / Ambos os times marcam?,Sim,A favor,371762924925,17-dez-24 09:53,,C,1.12,1.00,,1.12,(1.00)
Futebol / GD Estoril Praia U23 x Farense U23 / Ambos os times marcam?,Sim,A favor,371762698047,17-dez-24 09:49,,C,1.73,1.00,,1.73,(1.00)
Futebol / Benfica U23 x Estrela U23 / Ambos os times marcam?,Sim,A favor,371762775363,17-dez-24 09:50,,C,1.8,1.00,,1.8,(1.00)
Futebol / Santa Clara U23 x Mafra U23 / Ambos os times marcam?,Sim,A favor,371762572521,17-dez-24 09:47,,C,1.71,1.00,,1.71,0.71
Futebol / Barnsley Sub21 x Sheff Wed Sub21 / Ambos os times marcam?,Sim,A favor,371762639414,17-dez-24 09:48,,C,1.5,1.00,,1.5,0.50
"Futebol / Konyaspor x Karacabey Belediyespor AS / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371766543165,17-dez-24 10:44,,C,1.92,5.43,4.94,1.91,(4.94)
Futebol / Ipswich Town U21 x Colchester United U21 / Ambos os times marcam?,Sim,A favor,371762465730,17-dez-24 09:45,,C,1.45,1.00,,1.46,0.45
"Futebol / Bournemouth x West Ham / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371728596718,16-dez-24 18:03,,C,1.37,13.51,5.00,1.37,(5.00)
"Futebol / Fleetwood Town x Accrington / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",Contra,371728579916,16-dez-24 18:03,,C,1.26,19.23,5.00,1.26,(5.00)
"Futebol / Fleetwood Town x Accrington / Mais/Menos de 3,5 Gols","Menos de 3,5 gols",A favor,371729038680,16-dez-24 18:10,,C,1.57,8.77,,1.57,5.00
Futebol / Bournemouth x West Ham / Ambos os times marcam?,Sim,A favor,371708568401,16-dez-24 12:44,,C,1.59,1.00,,1.59,0.59
Futebol / Fleetwood Town x Accrington / Ambos os times marcam?,Sim,A favor,371708619385,16-dez-24 12:45,,C,1.79,1.00,,1.79,0.79
Futebol / Leicester Sub21 x Everton Sub21 / Ambos os times marcam?,Sim,A favor,371708237297,16-dez-24 12:39,,C,1.42,1.00,,1.42,0.42
Futebol / Newcastle Sub21 x Chelsea Sub21 / Ambos os times marcam?,Sim,A favor,371708392662,16-dez-24 12:42,,C,1.42,1.00,,1.42,0.42
Futebol / Carshalton Athletic FC x Leatherhead FC / Ambos os times marcam?,Sim,A favor,371708491411,16-dez-24 12:43,,C,1.7,1.00,,1.7,0.70
Futebol / Arsenal Sub21 x Sunderland Sub21 / Ambos os times marcam?,Sim,A favor,371708419350,16-dez-24 12:42,,C,1.33,1.00,,1.33,0.33
Futebol / Braga x Famalicão / Ambos os times marcam?,Sim,A favor,371708187724,16-dez-24 12:39,,C,1.98,1.00,,2,1.00
Futebol / AaB x Silkeborg / Ambos os times marcam?,Sim,A favor,371708108599,16-dez-24 12:38,,C,1.6,1.00,,1.6,0.60
"Futebol / Galatasaray x Trabzonspor / Mais/Menos de 7,5 Gols","Menos de 7,5 gols",Contra,371721916519,16-dez-24 16:33,,C,1.45,11.11,5.00,1.45,(5.00)
"Futebol / Partizan Belgrade x FK IMT Novi Beograd / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",Contra,371721059666,16-dez-24 16:21,,C,1.45,11.11,5.00,1.45,(5.00)
"Futebol / Partizan Belgrade x FK IMT Novi Beograd / Mais/Menos de 2,5 Gols","Menos de 2,5 gols",A favor,371721528733,16-dez-24 16:28,,C,2.38,3.62,,2.4,5.07
Futebol / Nottingham Forest U21 x Man City Sub21 / Ambos os times marcam?,Sim,A favor,371708308533,16-dez-24 12:40,,C,1.48,1.00,,1.48,0.48
Futebol / West Brom Sub21 x Reading Sub21 / Ambos os times marcam?,Sim,A favor,371708278175,16-dez-24 12:40,,C,1.38,1.00,,1.38,0.38
Futebol / Partizan Belgrade x FK IMT Novi Beograd / Ambos os times marcam?,Sim,A favor,371708044219,16-dez-24 12:36,,C,1.94,1.00,,1.94,0.94
"Futebol / Galatasaray x Trabzonspor / Mais/Menos de 5,5 Gols","Menos de 5,5 gols",A favor,371720837603,16-dez-24 16:18,,C,5.2,1.00,,5.2,(1.00)
"Futebol / Galatasaray x Trabzonspor / Mais/Menos de 5,5 Gols","Menos de 5,5 gols",Contra,371720865642,16-dez-24 16:19,,C,6,0.87,4.35,6,0.87
Futebol / Galatasaray x Trabzonspor / Ambos os times marcam?,Sim,A favor,371708075444,16-dez-24 12:37,,C,1.56,1.00,,1.56,0.56
"Futebol / Adana Demirspor x Besiktas / Mais/Menos de 4,5 Gols","Menos de 4,5 gols",Contra,371714145930,16-dez-24 14:32,,C,1.33,15.15,5.00,1.33,(5.00)
"Futebol / Adana Demirspor x Besiktas / Mais/Menos de 4,5 Gols","Menos de 4,5 gols",A favor,371714519908,16-dez-24 14:38,,C,1.16,17.37,,1.16,2.78
Futebol / FK Radnicki 1923 x FK Spartak / Ambos os times marcam?,Sim,A favor,371707977064,16-dez-24 12:35,,C,1.89,1.00,,1.89,(1.00)
Futebol / Adana Demirspor x Besiktas / Ambos os times marcam?,Sim,A favor,371708010617,16-dez-24 12:36,,C,1.66,1.00,,1.66,0.66
