Mercado,Hora de inicio,Data da última resolução,Lucro/Perda ($)
"Futebol / Buriram Utd x Pohang Steelers : Mais/Menos de 1,5 Gols",22-out-24 09:00,22-out-24 10:54,1.03
"Futebol / Tivoli Gardens x Racing United FC : Mais/Menos de 1,5 Gols",21-out-24 19:00,21-out-24 20:56,1.37
"Futebol / Nottm Forest x Crystal Palace : Mais/Menos de 1,5 Gols",21-out-24 16:00,21-out-24 17:56,0.78
"Futebol / Miramar Misiones x Deportivo Maldonado : Mais/Menos de 1,5 Gols",21-out-24 16:00,21-out-24 17:55,1.14
"Futebol / CA Argentino de Rosario x Real Pilar FC : Mais/Menos de 1,5 Gols",21-out-24 15:00,21-out-24 16:57,0.48
"Futebol / Brentford Sub21 x Derby Sub21 : Mais/Menos de 1,5 Gols",21-out-24 15:00,21-out-24 16:55,2.24
"Futebol / Reading Sub21 x Luton Town U21 : Mais/Menos de 1,5 Gols",21-out-24 15:00,21-out-24 16:23,1.08
"Futebol / Hapoel Eran Hadera x Maccabi Netanya : Mais/Menos de 1,5 Gols",21-out-24 14:00,21-out-24 15:39,1.15
"Futebol / PEC Zwolle x NAC Breda : Mais/Menos de 1,5 Gols",20-out-24 11:45,20-out-24 13:26,0.07
"Futebol / Arminia Bielefeld x VFL Osnabruck : Mais/Menos de 1,5 Gols",20-out-24 11:30,20-out-24 13:07,1.21
"Futebol / Brito SC x Moura : Mais/Menos de 1,5 Gols",20-out-24 11:00,20-out-24 12:58,1.10
"Futebol / Hull x Sunderland : Mais/Menos de 1,5 Gols",20-out-24 11:00,20-out-24 12:52,1.49
"Futebol / Lagoa x Famalicão : Mais/Menos de 1,5 Gols",20-out-24 11:00,20-out-24 12:47,-5.25
"Futebol / Cherno More x Hebar : Mais/Menos de 1,5 Gols",20-out-24 10:45,20-out-24 12:43,1.73
"Futebol / Alverca x Pero Pinheiro : Mais/Menos de 1,5 Gols",20-out-24 11:00,20-out-24 12:29,-5.00
"Futebol / Norrby IF x BK Olympic : Mais/Menos de 1,5 Gols",20-out-24 10:00,20-out-24 11:56,0.68
"Futebol / Austria Klagenfurt x Austria Vienna : Mais/Menos de 1,5 Gols",20-out-24 09:30,20-out-24 11:25,2.71
"Futebol / Mallorca x Rayo Vallecano : Mais/Menos de 1,5 Gols",20-out-24 09:00,20-out-24 10:58,1.08
"Futebol / Egaleo x PAE Chania : Mais/Menos de 1,5 Gols",20-out-24 09:00,20-out-24 10:55,1.24
"Futebol / Elche B x Lleida : Mais/Menos de 1,5 Gols",19-out-24 07:00,19-out-24 08:56,1.02
"Futebol / FK Qabala x Agsu : Mais/Menos de 1,5 Gols",19-out-24 07:00,19-out-24 08:53,1.54
"Futebol / Eintracht Frankfurt (F) x SV Werder Bremen (W) : Mais/Menos de 1,5 Gols",19-out-24 07:00,19-out-24 08:51,2.16
"Futebol / Cordoba x FC Cartagena : Mais/Menos de 1,5 Gols",18-out-24 15:30,18-out-24 16:57,-5.00
"Futebol / Universitatea Cluj x Otelul Galati : Mais/Menos de 1,5 Gols",18-out-24 15:00,18-out-24 16:33,-5.00
"Futebol / Hapoel Tel Aviv x MS Kfar Kasem : Mais/Menos de 1,5 Gols",18-out-24 10:00,18-out-24 11:56,1.72
"Futebol / Hapoel Rishon Lezion x Hapoel Ramat Gan : Mais/Menos de 1,5 Gols",18-out-24 10:00,18-out-24 11:54,1.58
"Futebol / Hapoel Nir Ramat Hasharon x Hapoel Afula : Mais/Menos de 1,5 Gols",18-out-24 10:00,18-out-24 11:38,1.59
"Futebol / Flamengo x Fluminense : Mais/Menos de 1,5 Gols",17-out-24 20:00,17-out-24 21:22,-5.00
"Futebol / Cusco FC x CD Los Chankas : Mais/Menos de 1,5 Gols",17-out-24 17:15,17-out-24 18:52,1.66
"Futebol / Cerro Largo FC x Deportivo Maldonado : Mais/Menos de 1,5 Gols",17-out-24 13:30,17-out-24 15:24,-0.10
"Futebol / Boston River x Progreso : Mais/Menos de 1,5 Gols",16-out-24 17:30,16-out-24 19:27,0.41
"Futebol / Brusque x Ituano : Mais/Menos de 1,5 Gols",14-out-24 18:30,14-out-24 20:30,1.38
"Futebol / San Martin de Tucuman x Club Atletico Racing de Co : Mais/Menos de 1,5 Gols",13-out-24 20:00,13-out-24 21:53,0.70
"Futebol / Academico de Viseu x Marítimo : Mais/Menos de 1,5 Gols",13-out-24 11:30,13-out-24 13:12,1.01
"Futebol / Cazaquistão x Eslovênia : Mais/Menos de 1,5 Gols",13-out-24 10:00,13-out-24 11:54,1.17
"Futebol / Nykobing FC x Aarhus Fremad : Mais/Menos de 1,5 Gols",13-out-24 10:00,13-out-24 11:49,1.23
"Futebol / SS Virtus Verona 1921 x Arzignanochiampo : Mais/Menos de 1,5 Gols",12-out-24 10:00,12-out-24 10:44,0.00
"Futebol / HNK Gorica x Domzale : Mais/Menos de 1,5 Gols",12-out-24 07:30,12-out-24 09:18,1.56
"Futebol / Chesterfield x Notts Co : Mais/Menos de 1,5 Gols",12-out-24 08:30,12-out-24 08:46,-5.00
"Futebol / Hungria x Holanda : 1,5 gols no primeiro tempo",11-out-24 15:45,11-out-24 16:35,1.55
"Futebol / Guiné Equatorial x Libéria : Mais/Menos de 1,5 Gols",11-out-24 10:00,11-out-24 12:00,-1.58
"Futebol / Transport United FC x BFF Academy FC : Mais/Menos de 2,5 Gols",11-out-24 09:00,11-out-24 10:20,1.17
"Futebol / Camboja x Chinese Taipei : Mais/Menos de 1,5 Gols",11-out-24 09:00,11-out-24 10:07,-5.00
