id,data,hora,time_casa,time_fora,mo_casa_odd,mo_fora_odd,mo_empate_odd,btts_sim_odd,btts_nao_odd,cs_0_0_odd,cs_0_1_odd,cs_0_2_odd,cs_0_3_odd,cs_1_0_odd,cs_1_1_odd,cs_1_2_odd,cs_1_3_odd,cs_2_0_odd,cs_2_1_odd,cs_2_2_odd,cs_2_3_odd,cs_3_0_odd,cs_3_1_odd,cs_3_2_odd,cs_3_3_odd,cs_gc_odd,cs_gf_odd,cs_ge_odd,u25_odd,o25_odd,moht_casa_odd,moht_fora_odd,moht_empate_odd,cs_ht_0_0,cs_ht_1_1,cs_ht_2_2,cs_ht_1_0,cs_ht_2_0,cs_ht_2_1,cs_ht_0_1,cs_ht_0_2,cs_ht_1_2,cs_ht_qor
33297428,2024-05-24,22:10,Real Cartagena,Tigres FC Zipaquira,1.39,7.8,5.0,2.18,1.72,13.0,25.0,55.0,100.0,5.9,10.0,30.0,100.0,6.8,9.4,24.0,100.0,10.5,14.5,38.0,140.0,6.8,8.8,9.2,1.95,1.9,1.99,7.6,2.52,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
33288418,2024-05-24,22:30,Universidad Cesar Vallejo,Atletico Grau,2.36,3.45,3.2,1.9,1.96,9.4,10.0,19.0,7.6,8.0,6.6,13.0,7.2,12.5,10.0,16.5,7.6,19.0,22.0,7.4,110.0,6.4,7.2,8.2,1.76,2.24,3.0,4.1,2.22,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
33296927,2024-05-24,22:30,San Francisco FC,Tauro FC,2.74,2.94,2.82,2.18,1.73,6.4,8.0,15.5,8.4,7.0,6.0,13.0,25.0,12.5,11.0,21.0,9.6,8.2,8.2,9.6,170.0,8.4,8.4,9.6,1.49,2.58,3.65,3.2,1.88,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26
